Продукт,Старая цена,Новая цена,Процент скидки,Время скидки
"Напиток пивной ВЕЛКОПОПОВИЦКИЙ КОЗЕЛ темный 3,7%, 0,45л",70.99,51.99,−27%,с 07 апреля до 04 мая
"Напиток пивной ВЕЛКОПОПОВИЦКИЙ КОЗЕЛ темный пастеризованный 3,7%, 0,45л",70.99,51.99,−27%,с 07 апреля до 04 мая
"Пиво ВЕЛКОПОПОВИЦКИЙ КОЗЕЛ светлое 4%, 0,45л",70.99,51.99,−27%,с 07 апреля до 04 мая
"Пиво BUD 66, светлое, 4,3%, 0,44л",84.10,52.99,−37%,с 13 апреля до 19 апреля
"Пюре НЕСТЛЕ персик, 90г",61.99,52.99,−15%,с 13 апреля до 26 апреля
"Пиво BUD 66, светлое, 4,3%, 0,44л",84.10,52.99,−37%,с 13 апреля до 19 апреля
"Пиво ЛЕВЕНБРАУ Ориджинал светлое фильтрованное 5,4%, 0,45",73.99,54.99,−26%,с 07 апреля до 04 мая
"Конфеты шоколадные КИТ-КАТ, с хрустящими вафлями, 1кг",73.89,54.99,−26%,с 07 апреля до 04 мая
"Пиво БАЛТИКА№0, Безалкогольное, светлое, 0,47л",61.80,54.99,−11%,с 13 апреля до 19 апреля
"Пиво БАЛТИКА №0, Светлое, нефильтрованное, 0,5%, 0,45л",61.80,54.99,−11%,с 13 апреля до 19 апреля
"Пиво БАЛТИКА№0, Светлое, фильтрованное, 0,45л",61.80,54.99,−11%,с 13 апреля до 19 апреля
"Пиво БАЛТИКА№0, Светлое, фильтрованное, 0,45л",61.80,54.99,−11%,с 13 апреля до 19 апреля
"Батончик шоколадный НАТС Дуо с фундуком брауни, 60г",75.30,54.99,−27%,с 13 апреля до 19 апреля
"Пиво БАЛТИКА №0, Светлое, нефильтрованное, 0,5%, 0,45л",61.80,54.99,−11%,с 13 апреля до 19 апреля
"Продукт овсяный VELLE густой клубника-банан, 140г",64.99,54.99,−15%,с 07 апреля до 04 мая
"Губка для посуды СЕЛЕСТА универсальная, 10шт.",69.99,54.99,−21%,с 07 апреля до 04 мая
"Нектар БАРИНОФФ Манго, 250мл",64.99,54.99,−15%,с 07 апреля до 04 мая
"Конфеты шоколадные КИТ-КАТ, с хрустящими вафлями, 1кг",73.69,54.99,−25%,с 07 апреля до 04 мая
"Конфеты шоколадные КИТ-КАТ, с хрустящими вафлями, 1кг",73.09,54.99,−25%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-персик 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Продукт овсяный VELLE густой клубника-банан, 140г",64.99,54.99,−15%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-клубника-черника 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-клубника-черника 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Продукт овсяный VELLE густой печеное яблоко, 140г",64.99,54.99,−15%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-клубника-черника 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Продукт овсяный VELLE густой печеное яблоко, 140г",64.99,54.99,−15%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-персик 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Йогурт питьевой АКТИВИА яблоко-персик 2%, 260г",72.99,54.99,−25%,с 07 апреля до 04 мая
"Пиво БАЛТИКА 9, Легендарное, светлое фильтрованное пастеризованное, 8%, 0,45л",65.10,55.99,−14%,с 13 апреля до 19 апреля
"Пиво КРУШОВИЦЕ, темное, фильтрованное, пастеризованное, 4,1%, 450мл",72.99,56.99,−22%,с 07 апреля до 04 мая
"Напиток газированный НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Байкал, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток газированный НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Дюшес, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Газированный напиток НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Тархун, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
"Напиток газированный НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Буратино, 500мл",69.90,57.99,−17%,с 13 апреля до 19 апреля
